"name","numberOfCores","osDiskSizeInMB","resourceDiskSizeInMB","memoryInMB","maxDataDiskCount"
"Standard_B1ls","1","1047552","4096","512","2"
"Standard_B1ms","1","1047552","4096","2048","2"
"Standard_B1s","1","1047552","4096","1024","2"
"Standard_B2ms","2","1047552","16384","8192","4"
"Standard_B2s","2","1047552","8192","4096","4"
"Standard_B4ms","4","1047552","32768","16384","8"
"Standard_B8ms","8","1047552","65536","32768","16"
"Standard_B12ms","12","1047552","98304","49152","16"
"Standard_B16ms","16","1047552","131072","65536","32"
"Standard_B20ms","20","1047552","163840","81920","32"
"Standard_E2_v4","2","1047552","0","16384","4"
"Standard_E4_v4","4","1047552","0","32768","8"
"Standard_E8_v4","8","1047552","0","65536","16"
"Standard_E16_v4","16","1047552","0","131072","32"
"Standard_E20_v4","20","1047552","0","163840","32"
"Standard_E32_v4","32","1047552","0","262144","32"
"Standard_E48_v4","48","1047552","0","393216","32"
"Standard_E64_v4","64","1047552","0","516096","32"
"Standard_E2d_v4","2","1047552","76800","16384","4"
"Standard_E4d_v4","4","1047552","153600","32768","8"
"Standard_E8d_v4","8","1047552","307200","65536","16"
"Standard_E16d_v4","16","1047552","614400","131072","32"
"Standard_E20d_v4","20","1047552","768000","163840","32"
"Standard_E32d_v4","32","1047552","1228800","262144","32"
"Standard_E48d_v4","48","1047552","1843200","393216","32"
"Standard_E64d_v4","64","1047552","2457600","516096","32"
"Standard_E2s_v4","2","1047552","0","16384","4"
"Standard_E4-2s_v4","4","1047552","0","32768","8"
"Standard_E4s_v4","4","1047552","0","32768","8"
"Standard_E8-2s_v4","8","1047552","0","65536","16"
"Standard_E8-4s_v4","8","1047552","0","65536","16"
"Standard_E8s_v4","8","1047552","0","65536","16"
"Standard_E16-4s_v4","16","1047552","0","131072","32"
"Standard_E16-8s_v4","16","1047552","0","131072","32"
"Standard_E16s_v4","16","1047552","0","131072","32"
"Standard_E20s_v4","20","1047552","0","163840","32"
"Standard_E32-8s_v4","32","1047552","0","262144","32"
"Standard_E32-16s_v4","32","1047552","0","262144","32"
"Standard_E32s_v4","32","1047552","0","262144","32"
"Standard_E48s_v4","48","1047552","0","393216","32"
"Standard_E64-16s_v4","64","1047552","0","516096","32"
"Standard_E64-32s_v4","64","1047552","0","516096","32"
"Standard_E64s_v4","64","1047552","0","516096","32"
"Standard_E80is_v4","80","1047552","0","516096","64"
"Standard_E2ds_v4","2","1047552","76800","16384","4"
"Standard_E4-2ds_v4","4","1047552","153600","32768","8"
"Standard_E4ds_v4","4","1047552","153600","32768","8"
"Standard_E8-2ds_v4","8","1047552","307200","65536","16"
"Standard_E8-4ds_v4","8","1047552","307200","65536","16"
"Standard_E8ds_v4","8","1047552","307200","65536","16"
"Standard_E16-4ds_v4","16","1047552","614400","131072","32"
"Standard_E16-8ds_v4","16","1047552","614400","131072","32"
"Standard_E16ds_v4","16","1047552","614400","131072","32"
"Standard_E20ds_v4","20","1047552","768000","163840","32"
"Standard_E32-8ds_v4","32","1047552","1228800","262144","32"
"Standard_E32-16ds_v4","32","1047552","1228800","262144","32"
"Standard_E32ds_v4","32","1047552","1228800","262144","32"
"Standard_E48ds_v4","48","1047552","1843200","393216","32"
"Standard_E64-16ds_v4","64","1047552","2457600","516096","32"
"Standard_E64-32ds_v4","64","1047552","2457600","516096","32"
"Standard_E64ds_v4","64","1047552","2457600","516096","32"
"Standard_E80ids_v4","80","1047552","2457600","516096","64"
"Standard_D2d_v4","2","1047552","76800","8192","4"
"Standard_D4d_v4","4","1047552","153600","16384","8"
"Standard_D8d_v4","8","1047552","307200","32768","16"
"Standard_D16d_v4","16","1047552","614400","65536","32"
"Standard_D32d_v4","32","1047552","1228800","131072","32"
"Standard_D48d_v4","48","1047552","1843200","196608","32"
"Standard_D64d_v4","64","1047552","2457600","262144","32"
"Standard_D2_v4","2","1047552","0","8192","4"
"Standard_D4_v4","4","1047552","0","16384","8"
"Standard_D8_v4","8","1047552","0","32768","16"
"Standard_D16_v4","16","1047552","0","65536","32"
"Standard_D32_v4","32","1047552","0","131072","32"
"Standard_D48_v4","48","1047552","0","196608","32"
"Standard_D64_v4","64","1047552","0","262144","32"
"Standard_D2ds_v4","2","1047552","76800","8192","4"
"Standard_D4ds_v4","4","1047552","153600","16384","8"
"Standard_D8ds_v4","8","1047552","307200","32768","16"
"Standard_D16ds_v4","16","1047552","614400","65536","32"
"Standard_D32ds_v4","32","1047552","1228800","131072","32"
"Standard_D48ds_v4","48","1047552","1843200","196608","32"
"Standard_D64ds_v4","64","1047552","2457600","262144","32"
"Standard_D2s_v4","2","1047552","0","8192","4"
"Standard_D4s_v4","4","1047552","0","16384","8"
"Standard_D8s_v4","8","1047552","0","32768","16"
"Standard_D16s_v4","16","1047552","0","65536","32"
"Standard_D32s_v4","32","1047552","0","131072","32"
"Standard_D48s_v4","48","1047552","0","196608","32"
"Standard_D64s_v4","64","1047552","0","262144","32"
"Standard_D1_v2","1","1047552","51200","3584","4"
"Standard_D2_v2","2","1047552","102400","7168","8"
"Standard_D3_v2","4","1047552","204800","14336","16"
"Standard_D4_v2","8","1047552","409600","28672","32"
"Standard_D5_v2","16","1047552","819200","57344","64"
"Standard_D11_v2","2","1047552","102400","14336","8"
"Standard_D12_v2","4","1047552","204800","28672","16"
"Standard_D13_v2","8","1047552","409600","57344","32"
"Standard_D14_v2","16","1047552","819200","114688","64"
"Standard_D15_v2","20","1047552","1024000","143360","64"
"Standard_D2_v2_Promo","2","1047552","102400","7168","8"
"Standard_D3_v2_Promo","4","1047552","204800","14336","16"
"Standard_D4_v2_Promo","8","1047552","409600","28672","32"
"Standard_D5_v2_Promo","16","1047552","819200","57344","64"
"Standard_D11_v2_Promo","2","1047552","102400","14336","8"
"Standard_D12_v2_Promo","4","1047552","204800","28672","16"
"Standard_D13_v2_Promo","8","1047552","409600","57344","32"
"Standard_D14_v2_Promo","16","1047552","819200","114688","64"
"Standard_F1","1","1047552","16384","2048","4"
"Standard_F2","2","1047552","32768","4096","8"
"Standard_F4","4","1047552","65536","8192","16"
"Standard_F8","8","1047552","131072","16384","32"
"Standard_F16","16","1047552","262144","32768","64"
"Standard_DS1_v2","1","1047552","7168","3584","4"
"Standard_DS2_v2","2","1047552","14336","7168","8"
"Standard_DS3_v2","4","1047552","28672","14336","16"
"Standard_DS4_v2","8","1047552","57344","28672","32"
"Standard_DS5_v2","16","1047552","114688","57344","64"
"Standard_DS11-1_v2","2","1047552","28672","14336","8"
"Standard_DS11_v2","2","1047552","28672","14336","8"
